listing_id;title;property_type;operation;price_eur;price_per_m2;area_m2;rooms;bathrooms;floor;has_elevator;district;neighborhood;full_address;locality;latitude;longitude;description;has_terrace;has_balcony;has_parking;has_air_conditioning;has_swimming_pool;has_garden;energy_cert;construction_year;condition;advertiser_name;advertiser_type;photo_count;is_new_development;url;scrape_date;scrape_timestamp
60844648727.100500;Chalet en venta en Costa Dorada;Chalet;venta;414000.0;1980.86;209.0;4;2;;False;;Deltebre;Deltebre;Deltebre;40.717050569;0.714891987;FABULOSA CASA EN VENTA EN DELTEBRE Consta de planta baja y 1r piso, 209 m2. En la planta baja : cocina con comedor, 1 baño, 1 habitación y salón comedor. En el 1r piso: 1 habitación con gran vestidor , sauna y terraza compartida con otra habitación, 2 habitaciones y 1 baño. Puertas de madera lacadas en blanco. Carpintería PVC. Aire acondicionado y calefacción, independientes. Piscina de agua salada rodeada de zona ajardinada con césped artificial, barbacoa y garaje. La casa cuenta con un solar d...;False;False;False;False;False;False;;Entre 20 y 30 años;;FINQUES IREDIE;Agencia;31;False;https://www.pisos.com/comprar/chalet-deltebre_centro_urbano-60844648727_100500/;2026-04-05;2026-04-05T13:30:15.660872
60925535191.100500;Chalet en venta en L Hostal Dels Alls;Chalet;venta;420000.0;840.0;500.0;8;3;;False;;L'Aldea;L'Aldea;L'Aldea;40.743053855;0.614408317;Descubre este impresionante chalet de 500 m2, ubicado en una excelente zona de L’Aldea, a solo 15 minutos de la playa y con una comunicación inmejorable: cerca de estación de tren, autobuses y servicios del centro del pueblo. 📍 Características principales: 🛏️ 8 habitaciones amplias 🚿 3 baños completos 🌞 Muy luminoso, con orientación ideal 🌿 Parcela esquinera con múltiples posibilidades 🔥 Sauna privada incluida 🏠 Distribuido en 2 plantas: planta baja + piso superior La planta baja, con acceso ind...;False;False;False;False;False;False;;;;FINQUES IREDIE;Agencia;43;False;https://www.pisos.com/comprar/chalet-aldea_centro_urbano-60925535191_100500/;2026-04-05;2026-04-05T13:30:16.211472
60902391177.100500;Chalet en venta en La Carretera Dels Reguers;Chalet;venta;465000.0;1937.5;240.0;3;4;;False;;Roquetes;Roquetes;Roquetes;40.82531001;0.466283304;Presentamos esta magnífica propiedad de alto standing, ubicada cerca del Parque Natural dels Ports de Tortosa-Beseit, y a escasos minutos de la ciudad. Una residencia única que combina lujo, privacidad y confort. Situada en una finca de más de 4.000 m2, esta elegante vivienda cuenta con 240 m2 útiles, cuidadosamente diseñados con materiales y acabados de primera calidad. La casa dispone de tres amplias habitaciones, un amplio salón con chimenea y una decoración de diseño que aporta calidez y dis...;False;False;True;False;True;True;;Entre 30 y 50 años;;FINQUES IREDIE;Agencia;44;False;https://www.pisos.com/comprar/chalet-roquetes_centro_urbano-60902391177_100500/;2026-04-05;2026-04-05T13:30:16.765913
60915635440.100500;Chalet en venta en Sant Josep de La M.;Chalet;venta;330000.0;1050.96;314.0;4;2;;False;Tortosa;Raval-Campredó-Urbanitzacions;Raval-Campredó-Urbanitzacions (Tortosa);Tortosa;40.8167079;0.5406941;"Ubicado en la prestigiosa zona de Sant Josep de la M. (Tortosa), este espectacular chalet combina a la perfección naturaleza, amplitud y luminosidad. Con una superficie construida de 314 m2 sobre una extensa parcela de más de 2.300 m2, la propiedad ofrece un entorno de paz y exclusividad, rodeado de verde y con vistas panorámicas incomparables a las montañas y al paisaje natural de la zona. Los espacios interiores destacan por su gran amplitud y luminosidad; el salón principal es el corazón del ...";False;False;False;False;False;True;;;;FINQUES IREDIE;Agencia;21;False;https://www.pisos.com/comprar/chalet-raval_campredo_urbanitzacions43500-60915635440_100500/;2026-04-05;2026-04-05T13:30:17.193321
60843364915.100500;Finca rústica en venta en Cataluña;Casa;venta;250000.0;1712.33;146.0;3;2;;False;;Aldover;Aldover;Aldover;40.880658309;0.499092797;Chalet en terreno de tierra de 30.000m2. Cultivado mayoritariamente de olivos en plena producción. También hay algunos algarrobos, un laurel y dos limoneros. A más más de los 145m2 de chalet, consta de una segunda construcción de uso de almacén de 120m2 más. Carretera con buen acceso y agua de pozo propio. Magníficas vistas a la montaña y ideal para quien busca la tranquilidad en un entorno rural en plena naturaleza.;False;False;False;True;False;False;;;;FINQUES IREDIE;Agencia;32;False;https://www.pisos.com/comprar/finca_rustica-aldover_centro_urbano-60843364915_100500/;2026-04-05;2026-04-05T13:30:17.672876
60892676785.100500;Casa en venta en El Barri de L Estacio;Casa;venta;187200.0;378.18;495.0;4;2;;False;;L'Aldea;L'Aldea;L'Aldea;40.750778749;0.627706923;Descubre esta magnífica casa en venta situada en la popular zona de Laldea, específicamente en la Calle Sant Magí. Esta propiedad destaca por su distribución funcional y comodidad con una planta baja que incluye un amplio parking equipado con puerta automática, aseo y bodega, ideal para almacenar tus pertenencias o como espacio adicional. En el primer piso encontrarás cuatro luminosas habitaciones perfectas para toda la familia, así como dos baños completos que garantizan privacidad y confort. E...;False;False;False;False;False;False;;;;FINQUES IREDIE;Agencia;19;False;https://www.pisos.com/comprar/casa-aldea_centro_urbano-60892676785_100500/;2026-04-05;2026-04-05T13:30:18.345614
60909943960.100500;Chalet en venta en Aldea L;Chalet;venta;252000.0;840.0;300.0;6;3;;False;;L'Aldea;L'Aldea;L'Aldea;40.751890734;0.622013966;Este impresionante chalet de diseño se eleva a lo largo de tres plantas, ofreciendo un espacio generoso y luminoso. Cuenta con seis amplias habitaciones: dos matrimoniales, tres dobles y una individual, todas equipadas con armarios empotrados que optimizan el almacenamiento. Disfruta de la comodidad de tres baños completos dotados con lavabo, bañera y bidet. La cocina es amplia y completamente equipada. El comedor junto al salón destaca por su elegancia en dos niveles e incluye una hermosa chime...;False;False;False;False;False;True;;Entre 30 y 50 años;;FINQUES IREDIE;Agencia;32;False;https://www.pisos.com/comprar/chalet-aldea_centro_urbano-60909943960_100500/;2026-04-05;2026-04-05T13:30:18.763289
60854065149.105600;Apartamento en venta en El Perelló;Apartamento;venta;99000.0;;;1;1;;False;;El Perelló;El Perelló;El Perelló;40.873646222;0.707219171;Encantador apartamento en venta en el corazón de El Perelló, famoso por su producción de miel y rodeado de olivares. Ubicación céntrica, con fácil acceso a tiendas, bares y restaurantes locales. Características destacadas de la propiedad: Luminoso y acogedor salón-comedor, ideal para relajarse o entretenerse. Cocina americana totalmente equipada con todos los electrodomésticos necesarios. Luminoso dormitorio doble. Moderno baño con ducha. Excelente ubicación: Cerca de todo lo necesario, incluyen...;False;False;False;False;False;False;;;;LOS DUENDES PROPERTIES;Agencia;12;False;https://www.pisos.com/comprar/apartamento-el_perello_centro_urbano-60854065149_105600/;2026-04-05;2026-04-05T13:30:19.311134
61680340851.100500;Piso en venta en Centro;Piso;venta;290000.0;1920.53;151.0;5;2;1ª;True;El Vendrell;Centre;Centre (El Vendrell);El Vendrell;41.22357713;1.536105733;Descubre este espectacular piso esquinero ubicado en el corazón de El Vendrell. 🏙️ Con más de 150m2 construidos, esta propiedad se destaca por su distribución inteligente y sus amplios espacios. Al ingresar, serás recibido por un gran recibidor que te lleva a un impresionante salón comedor muy luminoso 🌞, ideal para disfrutar con familia y amigos. La cocina equipada ofrece funcionalidad sin sacrificar estilo 🍽️. Además, cuenta con una práctica sala de lavado y una acogedora terraza perfecta para...;True;True;False;False;False;False;;Entre 30 y 50 años;;InmoCiorraga;Agencia;59;False;https://www.pisos.com/comprar/piso-el_vendrell_centre-61680340851_100500/;2026-04-05;2026-04-05T13:30:19.793090
61667668762.106500;Piso en venta en Cunit;Piso;venta;239000.0;3414.29;70.0;3;2;;False;;Cunit;Cunit;Cunit;41.192585508;1.620373977;A solo 5 minutos caminando de la playa, este piso en Cunit ofrece la combinación perfecta entre comodidad, ubicación y funcionalidad. Ideal como residencia habitual o segunda vivienda junto al mar. Características principales: Ubicación: Cunit, a solo 5 minutos a pie de la playa Superficie: 70 m² construidos Planta: Primera planta Habitaciones: 3 dormitorios Baños: 2 baños completos Extras: Balcón Galería anexa a la cocina Aire acondicionado Plaza de parking incluida en el precio Sobre la zona V...;False;False;False;False;False;False;;;;Estrada y Asociados;Agencia;22;False;https://www.pisos.com/comprar/piso-cunit_centro_urbano-61667668762_106500/;2026-04-05;2026-04-05T13:30:20.527259
